Tipo_Producto,Ingresos,Gastos,Cod_Pais,Continente,Pais,Trimestre,Anio
Celulares,165824.69,142135.45,BEL,Europa,Bélgica,T1,2019
Musica,60519.96,38905.69,BEL,Europa,Bélgica,T1,2019
PC,301499.44,267238.14,BEL,Europa,Bélgica,T1,2019
Tablets,45934.82,38643.58,BEL,Europa,Bélgica,T1,2019
TV,21563.68,12938.21,BEL,Europa,Bélgica,T1,2019
Accesorios,419500.74,343227.88,BRA,América,Brasil,T1,2019
Aplicaciones,746952.75,459663.23,BRA,América,Brasil,T1,2019
Celulares,1648038.61,1478137.72,BRA,América,Brasil,T1,2019
Musica,771943.74,496249.54,BRA,América,Brasil,T1,2019
PC,3146255.53,2784616.96,BRA,América,Brasil,T1,2019
Tablets,521740.87,443869.1,BRA,América,Brasil,T1,2019
TV,290423.59,178722.21,BRA,América,Brasil,T1,2019
Accesorios,986432.96,878033.73,CAN,América,Canadá,T1,2019
Aplicaciones,1559476.38,1021725.91,CAN,América,Canadá,T1,2019
Celulares,4496490.23,3771249.87,CAN,América,Canadá,T1,2019
Musica,2043859.2,1286874.31,CAN,América,Canadá,T1,2019
PC,6131577.59,5499456.19,CAN,América,Canadá,T1,2019
Tablets,1419944.28,1198077.99,CAN,América,Canadá,T1,2019
TV,840465.46,458435.71,CAN,América,Canadá,T1,2019
Accesorios,16629.96,13712.42,CHE,Europa,Suiza,T1,2019
Aplicaciones,28586.14,17591.47,CHE,Europa,Suiza,T1,2019
Celulares,93057.0,82601.16,CHE,Europa,Suiza,T1,2019
Musica,30800.56,17966.99,CHE,Europa,Suiza,T1,2019
PC,98284.92,88046.91,CHE,Europa,Suiza,T1,2019
Tablets,25879.76,21637.17,CHE,Europa,Suiza,T1,2019
TV,13689.14,8619.09,CHE,Europa,Suiza,T1,2019
Accesorios,42928.92,38548.42,CHL,América,Chile,T1,2019
Aplicaciones,72120.58,47251.42,CHL,América,Chile,T1,2019
Celulares,187513.51,164646.01,CHL,América,Chile,T1,2019
Musica,93383.22,57466.6,CHL,América,Chile,T1,2019
PC,404123.95,345555.26,CHL,América,Chile,T1,2019
Tablets,75610.29,60488.23,CHL,América,Chile,T1,2019
TV,33389.16,21464.46,CHL,América,Chile,T1,2019
Accesorios,3076128.82,2906941.73,CHN,Asia,China,T1,2019
Aplicaciones,4370407.79,2676874.77,CHN,Asia,China,T1,2019
Celulares,10605115.42,9215479.6,CHN,Asia,China,T1,2019
Musica,5766279.47,3422161.51,CHN,Asia,China,T1,2019
PC,17039679.81,14859178.41,CHN,Asia,China,T1,2019
Tablets,4460386.78,4119140.32,CHN,Asia,China,T1,2019
TV,1951777.99,1158337.81,CHN,Asia,China,T1,2019
Accesorios,55838.49,50198.24,CMR,África,Camerún,T1,2019
Aplicaciones,80186.67,53457.78,CMR,África,Camerún,T1,2019
Celulares,213831.11,176316.88,CMR,África,Camerún,T1,2019
Musica,119931.36,71958.82,CMR,África,Camerún,T1,2019
PC,540866.92,460140.52,CMR,África,Camerún,T1,2019
Tablets,87016.44,75715.61,CMR,África,Camerún,T1,2019
TV,38851.0,21959.26,CMR,África,Camerún,T1,2019
Accesorios,110701.6,86636.03,COL,América,Colombia,T1,2019
Aplicaciones,208135.58,113528.5,COL,América,Colombia,T1,2019
Celulares,463101.68,389593.47,COL,América,Colombia,T1,2019
Musica,237488.04,149529.51,COL,América,Colombia,T1,2019
PC,992360.73,837304.37,COL,América,Colombia,T1,2019
Tablets,184625.25,154358.82,COL,América,Colombia,T1,2019
TV,84584.78,56389.85,COL,América,Colombia,T1,2019
Accesorios,10789.54,9577.24,CRI,América,Costa Rica,T1,2019
Aplicaciones,16051.93,10701.29,CRI,América,Costa Rica,T1,2019
Celulares,35841.98,31814.79,CRI,América,Costa Rica,T1,2019
Musica,17738.74,10643.25,CRI,América,Costa Rica,T1,2019
PC,88693.71,75048.53,CRI,América,Costa Rica,T1,2019
Tablets,15390.97,12373.13,CRI,América,Costa Rica,T1,2019
TV,6717.5,4133.84,CRI,América,Costa Rica,T1,2019
Accesorios,19938.29,16377.88,CZE,Europa,República Checa,T1,2019
Aplicaciones,35235.21,22185.13,CZE,Europa,República Checa,T1,2019
Celulares,109660.61,96448.49,CZE,Europa,República Checa,T1,2019
Musica,48848.82,32004.4,CZE,Europa,República Checa,T1,2019
PC,195395.27,152918.04,CZE,Europa,República Checa,T1,2019
Tablets,34225.29,30051.47,CZE,Europa,República Checa,T1,2019
TV,17277.72,11518.48,CZE,Europa,República Checa,T1,2019
Accesorios,1026702.59,801450.26,DEU,Europa,Alemania,T1,2019
Aplicaciones,1370898.01,743712.17,DEU,Europa,Alemania,T1,2019
Celulares,4389389.04,3353851.54,DEU,Europa,Alemania,T1,2019
Musica,2345310.81,1547905.13,DEU,Europa,Alemania,T1,2019
PC,5695754.82,4192075.55,DEU,Europa,Alemania,T1,2019
Tablets,1265723.29,1079029.11,DEU,Europa,Alemania,T1,2019
TV,679607.11,329918.36,DEU,Europa,Alemania,T1,2019
Accesorios,23398.27,22395.48,DOM,América,República Dominicana,T1,2019
Aplicaciones,41568.35,26079.62,DOM,América,República Dominicana,T1,2019
Celulares,96170.84,89948.02,DOM,América,República Dominicana,T1,2019
Musica,49772.63,35725.69,DOM,América,República Dominicana,T1,2019
PC,113481.59,92574.79,DOM,América,República Dominicana,T1,2019
Tablets,36844.67,36402.54,DOM,América,República Dominicana,T1,2019
TV,18757.29,12035.93,DOM,América,República Dominicana,T1,2019
Accesorios,98911.31,81087.09,DZA,África,Argelia,T1,2019
Aplicaciones,133149.84,93299.99,DZA,África,Argelia,T1,2019
Celulares,351598.79,299929.05,DZA,África,Argelia,T1,2019
Musica,152558.12,86542.06,DZA,África,Argelia,T1,2019
PC,661833.01,626108.26,DZA,África,Argelia,T1,2019
Tablets,133149.84,122117.42,DZA,África,Argelia,T1,2019
TV,69237.92,45164.42,DZA,África,Argelia,T1,2019
Accesorios,32386.54,27598.41,ECU,América,Ecuador,T1,2019
Aplicaciones,57219.66,40462.47,ECU,América,Ecuador,T1,2019
Celulares,192578.0,171246.28,ECU,América,Ecuador,T1,2019
Musica,62621.52,43765.48,ECU,América,Ecuador,T1,2019
PC,235654.66,213945.87,ECU,América,Ecuador,T1,2019
Tablets,56676.44,55009.48,ECU,América,Ecuador,T1,2019
TV,26972.52,16345.35,ECU,América,Ecuador,T1,2019
Accesorios,197689.57,178744.32,EGY,África,Egipto,T1,2019
Aplicaciones,344791.91,229154.01,EGY,África,Egipto,T1,2019
Celulares,975268.53,874365.75,EGY,África,Egipto,T1,2019
Musica,386427.15,238940.79,EGY,África,Egipto,T1,2019
PC,1280039.95,1297327.09,EGY,África,Egipto,T1,2019
Tablets,298551.59,287182.51,EGY,África,Egipto,T1,2019
TV,159506.54,105028.92,EGY,África,Egipto,T1,2019
Accesorios,92850.04,92720.48,ESP,Europa,España,T1,2019
Aplicaciones,155940.45,108438.59,ESP,Europa,España,T1,2019
Celulares,540593.54,500049.03,ESP,Europa,España,T1,2019
Musica,170713.75,94047.76,ESP,Europa,España,T1,2019
PC,501581.64,441584.76,ESP,Europa,España,T1,2019
Tablets,132932.84,129057.19,ESP,Europa,España,T1,2019
TV,74736.43,44841.86,ESP,Europa,España,T1,2019
Accesorios,18661.79,19147.0,FIN,Europa,Finlandia,T1,2019
Aplicaciones,33387.11,19437.1,FIN,Europa,Finlandia,T1,2019
Celulares,61935.51,60298.13,FIN,Europa,Finlandia,T1,2019
Musica,29472.76,18567.84,FIN,Europa,Finlandia,T1,2019
PC,152626.79,129133.16,FIN,Europa,Finlandia,T1,2019
Tablets,21475.13,18790.73,FIN,Europa,Finlandia,T1,2019
TV,13545.32,8794.79,FIN,Europa,Finlandia,T1,2019
Accesorios,150547.14,141077.24,FRA,Europa,Francia,T1,2019
Aplicaciones,264215.28,157208.09,FRA,Europa,Francia,T1,2019
Celulares,703001.37,691637.78,FRA,Europa,Francia,T1,2019
Musica,285275.92,195783.81,FRA,Europa,Francia,T1,2019
PC,874846.14,765888.03,FRA,Europa,Francia,T1,2019
Tablets,208849.21,194096.46,FRA,Europa,Francia,T1,2019
TV,103464.06,72424.85,FRA,Europa,Francia,T1,2019
Accesorios,145897.28,142909.23,GBR,Europa,Reino Unido,T1,2019
Aplicaciones,236644.38,166503.79,GBR,Europa,Reino Unido,T1,2019
Celulares,533825.69,461686.62,GBR,Europa,Reino Unido,T1,2019
Musica,234229.64,136969.53,GBR,Europa,Reino Unido,T1,2019
PC,1059438.68,1046330.0,GBR,Europa,Reino Unido,T1,2019
Tablets,182661.84,160791.28,GBR,Europa,Reino Unido,T1,2019
TV,97402.42,56337.24,GBR,Europa,Reino Unido,T1,2019
Accesorios,33644.9,30646.13,GRC,Europa,Grecia,T1,2019
Aplicaciones,55542.6,40855.03,GRC,Europa,Grecia,T1,2019
Celulares,126038.98,115692.67,GRC,Europa,Grecia,T1,2019
Musica,68271.12,52011.29,GRC,Europa,Grecia,T1,2019
PC,273084.47,265926.01,GRC,Europa,Grecia,T1,2019
Tablets,41376.43,42016.39,GRC,Europa,Grecia,T1,2019
TV,20793.23,12027.94,GRC,Europa,Grecia,T1,2019
Accesorios,40241.16,43044.35,GTM,América,Guatemala,T1,2019
Aplicaciones,63553.29,45749.19,GTM,América,Guatemala,T1,2019
Celulares,141772.72,138207.48,GTM,América,Guatemala,T1,2019
Musica,77438.88,55270.71,GTM,América,Guatemala,T1,2019
PC,209436.97,213751.37,GTM,América,Guatemala,T1,2019
Tablets,53576.9,50368.98,GTM,América,Guatemala,T1,2019
TV,28224.28,21947.2,GTM,América,Guatemala,T1,2019
Accesorios,19855.02,20187.28,HUN,Europa,Hungría,T1,2019
Aplicaciones,32569.75,23867.96,HUN,Europa,Hungría,T1,2019
Celulares,76478.6,71818.67,HUN,Europa,Hungría,T1,2019
Musica,38098.2,25116.98,HUN,Europa,Hungría,T1,2019
PC,125909.89,121896.77,HUN,Europa,Hungría,T1,2019
Tablets,30912.01,29476.42,HUN,Europa,Hungría,T1,2019
TV,15596.09,10085.85,HUN,Europa,Hungría,T1,2019
Accesorios,535072.66,555477.74,IDN,Asia,Indonesia,T1,2019
Aplicaciones,834234.68,506365.29,IDN,Asia,Indonesia,T1,2019
Celulares,2194247.53,2139830.19,IDN,Asia,Indonesia,T1,2019
Musica,1231676.68,731391.03,IDN,Asia,Indonesia,T1,2019
PC,4662776.0,4640085.57,IDN,Asia,Indonesia,T1,2019
Tablets,786492.34,759692.61,IDN,Asia,Indonesia,T1,2019
TV,358675.08,252352.75,IDN,Asia,Indonesia,T1,2019
Accesorios,1216075.73,1074671.58,IND,Asia,India,T1,2019
Aplicaciones,2383508.44,1466774.42,IND,Asia,India,T1,2019
Celulares,4619202.4,4147855.21,IND,Asia,India,T1,2019
Musica,2327644.96,1432396.9,IND,Asia,India,T1,2019
PC,11034761.28,10852155.55,IND,Asia,India,T1,2019
Tablets,1664461.2,1433286.03,IND,Asia,India,T1,2019
TV,877580.43,574966.49,IND,Asia,India,T1,2019
Accesorios,9492.26,8401.2,IRL,Europa,Irlanda,T1,2019
Aplicaciones,18438.21,12080.2,IRL,Europa,Irlanda,T1,2019
Celulares,51258.21,44423.78,IRL,Europa,Irlanda,T1,2019
Musica,18176.67,9914.55,IRL,Europa,Irlanda,T1,2019
PC,51775.97,45138.02,IRL,Europa,Irlanda,T1,2019
Tablets,14479.72,12735.18,IRL,Europa,Irlanda,T1,2019
TV,7708.0,4204.36,IRL,Europa,Irlanda,T1,2019
Accesorios,169782.23,152096.59,IRN,Asia,Irán,T1,2019
Aplicaciones,299035.81,169020.24,IRN,Asia,Irán,T1,2019
Celulares,671747.1,547349.49,IRN,Asia,Irán,T1,2019
Musica,383062.4,216513.53,IRN,Asia,Irán,T1,2019
PC,1571205.08,1524804.45,IRN,Asia,Irán,T1,2019
Tablets,260396.35,232986.21,IRN,Asia,Irán,T1,2019
TV,119768.86,65328.47,IRN,Asia,Irán,T1,2019
Accesorios,21769.31,18141.09,ISR,Asia,Israel,T1,2019
Aplicaciones,30777.3,16787.62,ISR,Asia,Israel,T1,2019
Celulares,70632.79,58241.07,ISR,Asia,Israel,T1,2019
Musica,43830.17,23907.37,ISR,Asia,Israel,T1,2019
PC,140256.54,125797.11,ISR,Asia,Israel,T1,2019
Tablets,30971.48,27327.77,ISR,Asia,Israel,T1,2019
TV,12427.79,7456.68,ISR,Asia,Israel,T1,2019
Accesorios,129895.36,103916.29,ITA,Europa,Italia,T1,2019
Aplicaciones,203331.64,125127.16,ITA,Europa,Italia,T1,2019
Celulares,704169.57,633041.33,ITA,Europa,Italia,T1,2019
Musica,245040.69,154284.88,ITA,Europa,Italia,T1,2019
PC,815806.21,724142.59,ITA,Europa,Italia,T1,2019
Tablets,215793.9,193996.54,ITA,Europa,Italia,T1,2019
TV,89553.02,48847.1,ITA,Europa,Italia,T1,2019
Accesorios,282210.02,252187.68,JPN,Asia,Japón,T1,2019
Aplicaciones,370246.39,201952.58,JPN,Asia,Japón,T1,2019
Celulares,933783.17,839461.64,JPN,Asia,Japón,T1,2019
Musica,531357.79,309958.71,JPN,Asia,Japón,T1,2019
PC,1443119.44,1271319.51,JPN,Asia,Japón,T1,2019
Tablets,341383.09,302143.66,JPN,Asia,Japón,T1,2019
TV,165357.44,93462.9,JPN,Asia,Japón,T1,2019
Accesorios,112380.94,99491.81,KEN,África,Kenia,T1,2019
Aplicaciones,171965.46,97551.32,KEN,África,Kenia,T1,2019
Celulares,416631.76,356451.62,KEN,África,Kenia,T1,2019
Musica,174305.13,98878.54,KEN,África,Kenia,T1,2019
PC,582337.58,498180.41,KEN,África,Kenia,T1,2019
Tablets,161658.38,131260.27,KEN,África,Kenia,T1,2019
TV,81993.13,46065.23,KEN,África,Kenia,T1,2019
Accesorios,103534.94,82647.89,KOR,Asia,República de Corea,T1,2019
Aplicaciones,222744.48,144624.81,KOR,Asia,República de Corea,T1,2019
Celulares,375227.28,338662.58,KOR,Asia,República de Corea,T1,2019
Musica,188881.3,126224.81,KOR,Asia,República de Corea,T1,2019
PC,755525.2,674306.24,KOR,Asia,República de Corea,T1,2019
Tablets,163476.21,152305.34,KOR,Asia,República de Corea,T1,2019
TV,74051.48,42273.73,KOR,Asia,República de Corea,T1,2019
Accesorios,282169.08,248386.09,MEX,América,México,T1,2019
Aplicaciones,398563.82,253457.07,MEX,América,México,T1,2019
Celulares,1054053.08,941818.7,MEX,América,México,T1,2019
Musica,518457.0,346472.3,MEX,América,México,T1,2019
PC,2198972.81,1767704.88,MEX,América,México,T1,2019
Tablets,356258.16,320632.35,MEX,América,México,T1,2019
TV,179381.75,119876.49,MEX,América,México,T1,2019
Accesorios,65244.02,58904.88,MYS,Asia,Malasia,T1,2019
Aplicaciones,106623.62,72504.06,MYS,Asia,Malasia,T1,2019
Celulares,264781.99,235967.48,MYS,Asia,Malasia,T1,2019
Musica,154994.34,104362.85,MYS,Asia,Malasia,T1,2019
PC,496466.23,438308.76,MYS,Asia,Malasia,T1,2019
Tablets,84730.24,67219.32,MYS,Asia,Malasia,T1,2019
TV,41372.19,28190.15,MYS,Asia,Malasia,T1,2019
Accesorios,359747.85,310490.07,NGA,África,Nigeria,T1,2019
Aplicaciones,643562.77,403959.4,NGA,África,Nigeria,T1,2019
Celulares,1706326.97,1511446.47,NGA,África,Nigeria,T1,2019
Musica,634776.93,384674.82,NGA,África,Nigeria,T1,2019
PC,3444252.59,3002161.54,NGA,África,Nigeria,T1,2019
Tablets,535993.2,470531.73,NGA,África,Nigeria,T1,2019
TV,296634.19,186195.0,NGA,África,Nigeria,T1,2019
Accesorios,11568.62,10407.37,NOR,Europa,Noruega,T1,2019
Aplicaciones,21298.82,13829.02,NOR,Europa,Noruega,T1,2019
Celulares,45414.02,37959.85,NOR,Europa,Noruega,T1,2019
Musica,18627.44,10739.13,NOR,Europa,Noruega,T1,2019
PC,65417.81,59464.79,NOR,Europa,Noruega,T1,2019
Tablets,16403.27,13895.52,NOR,Europa,Noruega,T1,2019
TV,9143.25,5595.67,NOR,Europa,Noruega,T1,2019
Accesorios,82855.93,67113.3,PER,América,Perú,T1,2019
Aplicaciones,115343.51,73227.22,PER,América,Perú,T1,2019
Celulares,364884.77,279435.39,PER,América,Perú,T1,2019
Musica,178159.7,122288.82,PER,América,Perú,T1,2019
PC,492831.38,425806.31,PER,América,Perú,T1,2019
Tablets,101737.31,79784.5,PER,América,Perú,T1,2019
TV,62517.32,36938.01,PER,América,Perú,T1,2019
Accesorios,222194.03,200950.11,PHL,Asia,Filipinas,T1,2019
Aplicaciones,405177.34,255261.72,PHL,Asia,Filipinas,T1,2019
Celulares,776843.77,727125.77,PHL,Asia,Filipinas,T1,2019
Musica,416613.8,250315.46,PHL,Asia,Filipinas,T1,2019
PC,1435003.08,1314736.16,PHL,Asia,Filipinas,T1,2019
Tablets,304779.42,280991.75,PHL,Asia,Filipinas,T1,2019
TV,139810.86,84003.02,PHL,Asia,Filipinas,T1,2019
Accesorios,77344.86,71060.59,POL,Europa,Polonia,T1,2019
Aplicaciones,127691.99,73132.68,POL,Europa,Polonia,T1,2019
Celulares,406060.52,376400.45,POL,Europa,Polonia,T1,2019
Musica,173530.14,118000.49,POL,Europa,Polonia,T1,2019
PC,812121.04,747524.75,POL,Europa,Polonia,T1,2019
Tablets,101515.13,82313.65,POL,Europa,Polonia,T1,2019
TV,51727.45,31381.32,POL,Europa,Polonia,T1,2019
Accesorios,20399.98,18141.2,PRT,Europa,Portugal,T1,2019
Aplicaciones,31046.04,17272.89,PRT,Europa,Portugal,T1,2019
Celulares,109781.35,96921.25,PRT,Europa,Portugal,T1,2019
Musica,50468.2,33365.09,PRT,Europa,Portugal,T1,2019
PC,112092.54,103765.66,PRT,Europa,Portugal,T1,2019
Tablets,31598.79,28115.4,PRT,Europa,Portugal,T1,2019
TV,15344.08,9398.25,PRT,Europa,Portugal,T1,2019
Accesorios,315847.69,261391.19,RUS,Asia,Rusia,T1,2019
Aplicaciones,561643.56,374429.04,RUS,Asia,Rusia,T1,2019
Celulares,1233695.69,1205185.72,RUS,Asia,Rusia,T1,2019
Musica,584382.17,367944.33,RUS,Asia,Rusia,T1,2019
PC,2624407.2,2677655.7,RUS,Asia,Rusia,T1,2019
Tablets,412406.85,342507.38,RUS,Asia,Rusia,T1,2019
TV,221724.11,145267.52,RUS,Asia,Rusia,T1,2019
Accesorios,86313.84,63872.24,SDN,África,Sudán,T1,2019
Aplicaciones,136596.36,85600.38,SDN,África,Sudán,T1,2019
Celulares,356483.17,266603.9,SDN,África,Sudán,T1,2019
Musica,175389.72,109164.98,SDN,África,Sudán,T1,2019
PC,859753.53,646534.65,SDN,África,Sudán,T1,2019
Tablets,128584.84,107255.66,SDN,África,Sudán,T1,2019
TV,64671.73,36188.05,SDN,África,Sudán,T1,2019
Accesorios,17514.85,15709.19,SVK,Europa,Eslovaquia,T1,2019
Aplicaciones,27270.68,17531.15,SVK,Europa,Eslovaquia,T1,2019
Celulares,93023.31,79734.27,SVK,Europa,Eslovaquia,T1,2019
Musica,33354.97,18852.81,SVK,Europa,Eslovaquia,T1,2019
PC,87209.35,71353.11,SVK,Europa,Eslovaquia,T1,2019
Tablets,22031.84,19013.78,SVK,Europa,Eslovaquia,T1,2019
TV,11044.98,6954.25,SVK,Europa,Eslovaquia,T1,2019
Accesorios,19522.43,16213.54,SWE,Europa,Suecia,T1,2019
Aplicaciones,31527.26,18916.36,SWE,Europa,Suecia,T1,2019
Celulares,78234.32,70084.91,SWE,Europa,Suecia,T1,2019
Musica,50534.13,33108.57,SWE,Europa,Suecia,T1,2019
PC,157636.31,140313.64,SWE,Europa,Suecia,T1,2019
Tablets,28544.95,24467.1,SWE,Europa,Suecia,T1,2019
TV,13235.13,7480.73,SWE,Europa,Suecia,T1,2019
Accesorios,160307.31,130620.77,THA,Asia,Tailandia,T1,2019
Aplicaciones,233174.27,149897.74,THA,Asia,Tailandia,T1,2019
Celulares,685451.95,545563.8,THA,Asia,Tailandia,T1,2019
Musica,295585.23,190019.07,THA,Asia,Tailandia,T1,2019
PC,935440.31,774157.49,THA,Asia,Tailandia,T1,2019
Tablets,213743.08,185244.0,THA,Asia,Tailandia,T1,2019
TV,105175.17,70116.78,THA,Asia,Tailandia,T1,2019
Accesorios,178934.38,157113.12,TUR,Asia,Turquía,T1,2019
Aplicaciones,306176.61,188416.38,TUR,Asia,Turquía,T1,2019
Celulares,725155.13,632186.52,TUR,Asia,Turquía,T1,2019
Musica,338801.99,197634.49,TUR,Asia,Turquía,T1,2019
PC,1102235.8,857294.51,TUR,Asia,Turquía,T1,2019
Tablets,222224.96,193364.58,TUR,Asia,Turquía,T1,2019
TV,106943.97,70066.74,TUR,Asia,Turquía,T1,2019
Accesorios,117215.84,96284.44,TZA,África,Tanzania,T1,2019
Aplicaciones,178237.03,118824.69,TZA,África,Tanzania,T1,2019
Celulares,415072.53,373146.02,TZA,África,Tanzania,T1,2019
Musica,208249.45,128153.51,TZA,África,Tanzania,T1,2019
PC,1188246.86,1054735.98,TZA,África,Tanzania,T1,2019
Tablets,156590.67,133562.63,TZA,África,Tanzania,T1,2019
TV,89381.4,56277.18,TZA,África,Tanzania,T1,2019
Accesorios,107692.37,88798.97,UKR,Europa,Ucrania,T1,2019
Aplicaciones,145094.51,91355.8,UKR,Europa,Ucrania,T1,2019
Celulares,367133.08,295146.2,UKR,Europa,Ucrania,T1,2019
Musica,190793.57,122653.01,UKR,Europa,Ucrania,T1,2019
PC,515548.59,420076.62,UKR,Europa,Ucrania,T1,2019
Tablets,127195.71,99544.47,UKR,Europa,Ucrania,T1,2019
TV,64272.64,35057.8,UKR,Europa,Ucrania,T1,2019
Accesorios,3255574.45,2681523.88,USA,América,Estados Unidos,T1,2019
Aplicaciones,4676887.17,2684126.55,USA,América,Estados Unidos,T1,2019
Celulares,14817427.61,12231658.53,USA,América,Estados Unidos,T1,2019
Musica,6291526.79,3610789.29,USA,América,Estados Unidos,T1,2019
PC,21718695.25,16700991.58,USA,América,Estados Unidos,T1,2019
Tablets,4441077.75,3344160.3,USA,América,Estados Unidos,T1,2019
TV,2301109.94,1283952.65,USA,América,Estados Unidos,T1,2019
Accesorios,72718.29,64547.69,VEN,América,Venezuela,T1,2019
Aplicaciones,119363.24,73454.3,VEN,América,Venezuela,T1,2019
Celulares,332902.98,258924.54,VEN,América,Venezuela,T1,2019
Musica,149943.9,98239.11,VEN,América,Venezuela,T1,2019
PC,471252.27,390001.88,VEN,América,Venezuela,T1,2019
Tablets,90716.06,78289.2,VEN,América,Venezuela,T1,2019
TV,49981.3,30757.72,VEN,América,Venezuela,T1,2019
Accesorios,64569.91,56973.45,YEM,Asia,Yemen,T1,2019
Aplicaciones,95083.12,58512.69,YEM,Asia,Yemen,T1,2019
Celulares,221186.28,197402.81,YEM,Asia,Yemen,T1,2019
Musica,142407.6,91547.74,YEM,Asia,Yemen,T1,2019
PC,328287.0,268598.45,YEM,Asia,Yemen,T1,2019
Tablets,102928.27,92093.71,YEM,Asia,Yemen,T1,2019
TV,42374.0,24718.17,YEM,Asia,Yemen,T1,2019
Accesorios,138475.19,110384.51,ZAF,África,Sudáfrica,T1,2019
Aplicaciones,213802.08,131672.59,ZAF,África,Sudáfrica,T1,2019
Celulares,525097.91,458410.48,ZAF,África,Sudáfrica,T1,2019
Musica,320181.65,193481.2,ZAF,África,Sudáfrica,T1,2019
PC,669767.74,540925.58,ZAF,África,Sudáfrica,T1,2019
Tablets,199505.29,165190.38,ZAF,África,Sudáfrica,T1,2019
TV,104020.98,54090.91,ZAF,África,Sudáfrica,T1,2019
Accesorios,10220.62,8451.95,NZL,Oceanía,Nueva Zelanda,T1,2019
Aplicaciones,17393.49,9401.11,NZL,Oceanía,Nueva Zelanda,T1,2019
Celulares,48761.25,40748.77,NZL,Oceanía,Nueva Zelanda,T1,2019
Musica,21122.22,14180.97,NZL,Oceanía,Nueva Zelanda,T1,2019
PC,62011.58,55047.02,NZL,Oceanía,Nueva Zelanda,T1,2019
Tablets,17603.08,15423.33,NZL,Oceanía,Nueva Zelanda,T1,2019
TV,6731.77,4394.15,NZL,Oceanía,Nueva Zelanda,T1,2019
Accesorios,68775.99,58510.92,AGO,África,Angola,T1,2020
Aplicaciones,97432.65,62635.28,AGO,África,Angola,T1,2020
Celulares,210454.53,188979.57,AGO,África,Angola,T1,2020
Musica,148207.41,91204.56,AGO,África,Angola,T1,2020
PC,444622.24,353883.01,AGO,África,Angola,T1,2020
Tablets,79118.24,68426.59,AGO,África,Angola,T1,2020
TV,44213.14,28967.23,AGO,África,Angola,T1,2020
Accesorios,88128.95,74776.08,ARG,América,Argentina,T1,2020
Aplicaciones,171379.92,105464.57,ARG,América,Argentina,T1,2020
Celulares,464439.59,404122.76,ARG,América,Argentina,T1,2020
Musica,178630.61,114833.96,ARG,América,Argentina,T1,2020
PC,844435.62,710398.22,ARG,América,Argentina,T1,2020
Tablets,140739.27,126523.18,ARG,América,Argentina,T1,2020
TV,65971.53,40597.87,ARG,América,Argentina,T1,2020
Accesorios,52868.74,42049.09,AUS,Oceanía,Australia,T1,2020
Aplicaciones,89205.77,50549.94,AUS,Oceanía,Australia,T1,2020
Celulares,205810.45,152152.73,AUS,Oceanía,Australia,T1,2020
Musica,112552.59,59090.11,AUS,Oceanía,Australia,T1,2020
PC,364727.38,283895.91,AUS,Oceanía,Australia,T1,2020
Tablets,84496.96,67957.13,AUS,Oceanía,Australia,T1,2020
TV,43328.52,23997.33,AUS,Oceanía,Australia,T1,2020
Accesorios,18579.97,15630.77,AUT,Europa,Austria,T1,2020
Aplicaciones,38533.55,24771.57,AUT,Europa,Austria,T1,2020
